run_id,sequence_name,seed,rand_mode,constraint_set,rand_addr_base,rand_addr_range_kb,rand_data_pattern,payload_entropy,rand_rw_ratio,rand_opcode_mix,rand_burst_len_mean,rand_packet_len_bytes,rand_delay_min_ns,rand_delay_max_ns,rand_idle_cycles,rand_wait_states,rand_priority_mode,rand_traffic_pattern,rand_workload,rand_order,rand_err_inj_mode,rand_transaction_count
RUN-000050,sequential_write_seq,1441025260,constrained,corner,0x57efe000,1024,incremental,0.405,0.12,balanced,40.3,2048,9,139,60,2,weighted,strided,streaming,in_order,stuck_at,64
RUN-000051,garbage_collect_seq,474418530,constrained,default,0x9baf8000,256,incremental,0.799,0.72,wr_heavy,26.1,512,14,110,37,6,round_robin,strided,oltp,out_of_order,stuck_at,128
RUN-000052,garbage_collect_seq,409097817,constrained,default,0xde6db000,64,incremental,0.398,0.24,rd_heavy,19.5,4096,9,134,62,0,fixed,hotspot,boot,out_of_order,none,512
RUN-000053,random_read_seq,489895408,constrained,default,0xf0b21000,256,all_zeros,0.672,0.62,balanced,6.1,512,0,141,12,4,fixed,strided,oltp,in_order,bitflip,128
RUN-000054,random_read_seq,383659935,directed,stress,0x93ff9000,1024,all_zeros,0.272,0.69,erase_mixed,5.4,4096,14,29,39,4,round_robin,hotspot,streaming,out_of_order,bitflip,128
RUN-000055,back_to_back_program_seq,1639118726,constrained,default,0xd3c19000,64,random,0.806,0.36,rd_heavy,20.6,512,5,136,11,4,round_robin,random,boot,in_order,jitter,64
RUN-000056,back_to_back_program_seq,1417503073,constrained,corner,0xe6fce000,256,random,0.471,0.41,balanced,5.1,512,0,98,51,2,round_robin,random,streaming,in_order,none,512
RUN-000057,power_cycle_seq,2077118466,constrained,default,0x0cd6b000,256,random,0.331,0.34,erase_mixed,23.4,512,12,63,51,0,fixed,strided,oltp,out_of_order,none,128
RUN-000058,random_read_seq,2030731573,full_random,default,0xfe15e000,1024,all_zeros,0.232,0.34,wr_heavy,30.9,2048,15,169,52,6,weighted,sequential,streaming,out_of_order,bitflip,256
RUN-000059,back_to_back_program_seq,232722372,constrained,default,0xa0b09000,64,random,0.705,0.37,rd_heavy,26.1,1024,12,124,22,2,fixed,random,boot,in_order,none,512
RUN-000060,garbage_collect_seq,353401062,constrained,stress,0xb3b61000,4096,incremental,0.628,0.22,wr_heavy,9.7,512,2,42,50,1,round_robin,random,streaming,in_order,jitter,256
RUN-000061,random_read_seq,541657259,constrained,default,0x33d42000,4096,random,0.815,0.23,wr_heavy,30.8,2048,17,60,58,3,round_robin,strided,mixed,in_order,none,64
RUN-000062,power_cycle_seq,1122784415,constrained,default,0x08c09000,64,checkerboard,0.403,0.55,rd_heavy,12.1,1024,6,132,14,1,round_robin,random,streaming,in_order,none,256
RUN-000063,back_to_back_program_seq,218270753,constrained,default,0x73191000,64,random,0.723,0.84,rd_heavy,45.7,512,4,146,20,6,round_robin,strided,streaming,in_order,jitter,128
RUN-000064,erase_suspend_seq,1071958782,constrained,default,0x5eaf3000,256,random,0.552,0.9,wr_heavy,20.7,512,14,140,47,2,fixed,strided,streaming,out_of_order,stuck_at,256
RUN-000065,back_to_back_program_seq,622197009,constrained,default,0x016a6000,256,random,0.806,0.2,rd_heavy,5.3,512,9,152,2,4,fixed,sequential,streaming,out_of_order,bitflip,64
RUN-000066,sequential_write_seq,1334851894,full_random,stress,0xa0249000,256,random,0.222,0.23,wr_heavy,27.8,1024,9,172,62,1,weighted,strided,streaming,out_of_order,jitter,32
RUN-000067,sequential_write_seq,708680496,constrained,corner,0x08188000,1024,incremental,0.737,0.53,rd_heavy,2.7,1024,1,44,3,5,fixed,sequential,mixed,in_order,bitflip,1024
RUN-000068,random_read_seq,246512827,full_random,default,0xd7ea7000,4096,checkerboard,0.362,0.16,rd_heavy,14.1,512,10,208,0,4,fixed,hotspot,mixed,out_of_order,stuck_at,1024
RUN-000069,random_read_seq,929426491,directed,corner,0x349df000,64,walking_ones,0.283,0.9,wr_heavy,3.4,2048,11,41,11,0,fixed,strided,streaming,in_order,stuck_at,32
RUN-000070,random_read_seq,1385784218,constrained,corner,0xf07e4000,256,checkerboard,0.6,0.31,rd_heavy,6.8,512,6,90,42,6,weighted,random,mixed,out_of_order,bitflip,128
RUN-000071,erase_suspend_seq,1255731468,directed,corner,0x59988000,1024,random,0.283,0.34,balanced,7.2,512,11,27,50,1,weighted,strided,streaming,out_of_order,none,64
RUN-000072,back_to_back_program_seq,1113189565,constrained,default,0x06f12000,64,random,0.187,0.46,wr_heavy,23.2,1024,4,17,14,4,weighted,hotspot,mixed,out_of_order,bitflip,256
RUN-000073,mixed_rw_seq,1732049307,constrained,default,0x7ed3c000,1024,random,0.408,0.22,balanced,5.1,512,13,167,26,2,round_robin,random,oltp,in_order,none,1024
RUN-000074,back_to_back_program_seq,1398175814,constrained,default,0x9e218000,256,incremental,0.625,0.74,rd_heavy,22.3,4096,11,179,34,7,weighted,sequential,streaming,in_order,none,1024
RUN-000075,read_disturb_seq,1015316094,constrained,stress,0xc3acb000,4096,random,0.358,0.48,balanced,61.2,2048,16,164,59,4,fixed,sequential,streaming,in_order,stuck_at,128
RUN-000076,mixed_rw_seq,1493542593,constrained,default,0x91de9000,256,random,0.569,0.51,erase_mixed,22.0,2048,19,145,50,7,fixed,strided,oltp,out_of_order,none,1024
RUN-000077,mixed_rw_seq,514811956,constrained,stress,0xeb79f000,1024,random,0.145,0.32,balanced,5.9,512,11,164,38,1,fixed,random,mixed,in_order,stuck_at,1024
RUN-000078,mixed_rw_seq,456590257,constrained,default,0x89c96000,1024,checkerboard,0.76,0.78,rd_heavy,41.6,1024,15,164,18,6,round_robin,hotspot,streaming,in_order,none,128
RUN-000079,sequential_write_seq,401394186,constrained,default,0x31cd6000,64,random,0.742,0.15,erase_mixed,57.6,4096,3,194,37,7,weighted,strided,streaming,in_order,bitflip,512
RUN-000080,power_cycle_seq,1208608810,directed,default,0xd9e6e000,64,random,0.714,0.61,balanced,2.4,2048,8,115,30,7,round_robin,hotspot,oltp,in_order,none,512
RUN-000081,sequential_write_seq,1346833752,directed,stress,0x02eff000,256,random,0.558,0.57,balanced,3.3,512,14,32,15,7,fixed,sequential,boot,in_order,bitflip,256
RUN-000082,erase_suspend_seq,976982560,directed,default,0x56b6f000,256,checkerboard,0.727,0.58,erase_mixed,31.4,512,16,181,14,3,fixed,random,mixed,in_order,none,512
RUN-000083,back_to_back_program_seq,1793597031,full_random,corner,0xf7d31000,1024,incremental,0.264,0.68,wr_heavy,14.9,4096,15,179,12,6,weighted,random,oltp,in_order,none,128
RUN-000084,power_cycle_seq,203687002,constrained,default,0x6b57c000,256,random,0.127,0.67,balanced,5.6,1024,1,188,24,6,round_robin,random,oltp,in_order,none,256
RUN-000085,mixed_rw_seq,1112280892,full_random,default,0x1150b000,4096,random,0.458,0.61,wr_heavy,14.2,1024,9,149,21,7,fixed,sequential,oltp,in_order,none,1024
RUN-000086,back_to_back_program_seq,1570401407,full_random,default,0xb4cad000,4096,walking_ones,0.873,0.54,rd_heavy,2.9,1024,9,148,33,1,fixed,random,streaming,out_of_order,none,1024
RUN-000087,sequential_write_seq,1877811148,constrained,corner,0xf863a000,256,random,0.798,0.24,balanced,50.2,512,10,17,24,7,round_robin,random,mixed,in_order,stuck_at,64
RUN-000088,mixed_rw_seq,388979363,full_random,default,0x10844000,64,all_zeros,0.866,0.49,rd_heavy,30.2,1024,1,58,19,2,round_robin,strided,boot,out_of_order,bitflip,128
RUN-000089,back_to_back_program_seq,658751876,constrained,default,0xb3180000,64,checkerboard,0.673,0.39,wr_heavy,48.8,2048,13,212,36,7,weighted,sequential,oltp,in_order,none,32
RUN-000090,garbage_collect_seq,82838211,full_random,corner,0x61a17000,64,random,0.25,0.62,rd_heavy,6.9,2048,18,205,14,4,fixed,strided,oltp,out_of_order,none,32
RUN-000091,mixed_rw_seq,73073017,constrained,stress,0x9fb0b000,1024,random,0.874,0.69,erase_mixed,3.6,1024,5,115,50,1,round_robin,hotspot,mixed,out_of_order,bitflip,128
RUN-000092,random_read_seq,1751935612,full_random,default,0x57f46000,64,all_zeros,0.529,0.75,balanced,6.1,1024,11,84,41,3,round_robin,strided,oltp,out_of_order,bitflip,256
RUN-000093,erase_suspend_seq,1529344456,directed,default,0xb81c1000,64,walking_ones,0.388,0.23,wr_heavy,15.8,2048,5,132,36,3,fixed,strided,streaming,out_of_order,none,512
RUN-000094,back_to_back_program_seq,791413533,constrained,default,0xbba60000,1024,random,0.484,0.68,erase_mixed,15.7,1024,18,188,55,1,weighted,sequential,oltp,in_order,bitflip,256
RUN-000095,back_to_back_program_seq,1544785768,constrained,default,0x6a219000,256,random,0.314,0.58,wr_heavy,15.2,512,11,45,52,0,round_robin,sequential,streaming,in_order,none,32
RUN-000096,mixed_rw_seq,1698638197,constrained,corner,0xc6e0f000,64,checkerboard,0.37,0.33,erase_mixed,13.9,512,11,139,15,5,fixed,sequential,oltp,in_order,none,1024
RUN-000097,back_to_back_program_seq,1465846343,constrained,default,0x646ac000,4096,all_zeros,0.032,0.16,balanced,53.8,512,18,35,60,1,weighted,sequential,oltp,out_of_order,none,256
RUN-000098,read_disturb_seq,993176574,constrained,corner,0xb34d4000,256,walking_ones,0.36,0.67,erase_mixed,15.3,512,18,168,20,7,round_robin,strided,streaming,out_of_order,stuck_at,512
RUN-000099,garbage_collect_seq,1781193400,constrained,default,0x2cd14000,64,checkerboard,0.266,0.67,balanced,23.8,512,0,126,31,1,round_robin,strided,oltp,in_order,none,16
RUN-000100,sequential_write_seq,233121235,constrained,default,0xe2190000,256,checkerboard,0.474,0.54,wr_heavy,7.1,4096,15,122,26,6,fixed,random,oltp,in_order,none,256
RUN-000101,back_to_back_program_seq,1592237524,directed,corner,0x8e483000,256,incremental,0.654,0.71,rd_heavy,22.9,4096,5,108,37,0,weighted,sequential,streaming,in_order,none,16
RUN-000102,read_disturb_seq,183622966,full_random,default,0xb6a8e000,4096,random,0.766,0.43,erase_mixed,2.7,1024,12,74,8,1,fixed,strided,streaming,out_of_order,none,512
RUN-000103,mixed_rw_seq,151061066,constrained,default,0x7bed5000,256,random,0.511,0.52,rd_heavy,3.9,1024,7,50,4,2,weighted,sequential,oltp,out_of_order,bitflip,32
RUN-000104,erase_suspend_seq,859828837,directed,default,0xbc591000,4096,checkerboard,0.634,0.86,wr_heavy,5.1,1024,13,31,48,7,round_robin,random,oltp,in_order,bitflip,256
RUN-000105,mixed_rw_seq,786139232,full_random,default,0x1e716000,64,walking_ones,0.273,0.76,rd_heavy,11.6,1024,2,108,54,5,round_robin,sequential,oltp,in_order,stuck_at,512
RUN-000106,random_read_seq,815251129,constrained,default,0xfff8e000,4096,checkerboard,0.514,0.54,wr_heavy,2.5,2048,17,116,41,1,fixed,strided,streaming,in_order,bitflip,256
RUN-000107,random_read_seq,864127838,constrained,stress,0xbbecf000,256,random,0.728,0.54,rd_heavy,27.9,1024,3,62,17,7,weighted,strided,streaming,out_of_order,bitflip,512
RUN-000108,sequential_write_seq,109247748,constrained,stress,0x51ecf000,1024,random,0.729,0.54,erase_mixed,7.1,4096,10,78,5,3,weighted,sequential,streaming,out_of_order,bitflip,256
RUN-000109,random_read_seq,772301976,constrained,corner,0xb40d8000,64,incremental,0.703,0.74,erase_mixed,14.0,2048,15,116,14,1,weighted,strided,streaming,out_of_order,none,256
RUN-000110,mixed_rw_seq,747602228,constrained,default,0xbf35e000,1024,checkerboard,0.084,0.13,balanced,5.4,4096,15,204,18,3,weighted,hotspot,boot,out_of_order,none,128
RUN-000111,random_read_seq,1393019185,constrained,default,0x6edaa000,4096,random,0.525,0.89,rd_heavy,3.4,512,19,147,32,1,fixed,hotspot,streaming,out_of_order,stuck_at,256
RUN-000112,mixed_rw_seq,1364976308,full_random,default,0x8277a000,64,random,0.638,0.6,balanced,27.2,1024,6,194,46,7,fixed,strided,mixed,in_order,none,256
RUN-000113,random_read_seq,1633973180,constrained,stress,0xaa89b000,64,random,0.803,0.44,balanced,5.1,2048,2,85,41,3,round_robin,hotspot,oltp,in_order,none,16
RUN-000114,random_read_seq,511926395,constrained,corner,0xb2b20000,1024,checkerboard,0.585,0.46,rd_heavy,49.7,4096,5,28,62,2,round_robin,random,oltp,in_order,bitflip,128
RUN-000115,erase_suspend_seq,318958295,directed,default,0x0a587000,4096,random,0.502,0.33,balanced,7.3,4096,14,163,2,3,weighted,random,streaming,in_order,bitflip,1024
RUN-000116,mixed_rw_seq,1938838810,constrained,default,0x2d3c3000,64,incremental,0.451,0.21,balanced,12.5,512,12,182,12,1,weighted,random,streaming,out_of_order,none,1024
RUN-000117,garbage_collect_seq,321192852,full_random,corner,0x60f4f000,256,walking_ones,0.773,0.67,rd_heavy,22.1,512,2,63,5,4,weighted,hotspot,mixed,in_order,none,32
RUN-000118,sequential_write_seq,1638953173,full_random,stress,0x436a5000,4096,random,0.767,0.29,rd_heavy,11.3,2048,3,170,30,1,round_robin,random,mixed,in_order,none,512
RUN-000119,mixed_rw_seq,915921874,constrained,corner,0x07fa9000,1024,walking_ones,0.726,0.2,rd_heavy,5.4,2048,12,157,9,4,weighted,random,streaming,in_order,none,32
RUN-000120,read_disturb_seq,606375701,constrained,corner,0x10192000,64,random,0.621,0.41,wr_heavy,31.6,1024,5,105,54,0,round_robin,sequential,streaming,out_of_order,none,512
RUN-000121,mixed_rw_seq,820123204,directed,default,0x3ccd3000,1024,random,0.367,0.84,balanced,3.2,1024,3,145,31,7,weighted,strided,streaming,out_of_order,none,512
RUN-000122,back_to_back_program_seq,894348806,constrained,default,0xe3627000,64,random,0.558,0.72,wr_heavy,12.2,2048,9,98,52,3,round_robin,random,oltp,in_order,bitflip,1024
RUN-000123,erase_suspend_seq,1129119831,constrained,corner,0x47066000,1024,checkerboard,0.554,0.62,balanced,7.7,1024,4,57,61,6,fixed,hotspot,oltp,in_order,none,256
RUN-000124,read_disturb_seq,1430788467,constrained,default,0x46671000,64,all_zeros,0.502,0.6,rd_heavy,29.1,512,16,121,14,4,weighted,random,oltp,in_order,none,32
RUN-000125,sequential_write_seq,119819624,constrained,default,0x201ec000,64,random,0.269,0.54,wr_heavy,7.4,1024,16,97,37,7,weighted,random,boot,in_order,none,32
RUN-000126,garbage_collect_seq,52824817,constrained,default,0xdadf6000,64,walking_ones,0.609,0.48,balanced,4.0,512,12,122,34,0,round_robin,sequential,streaming,out_of_order,none,128
RUN-000127,random_read_seq,2102137788,constrained,corner,0xd34e4000,1024,random,0.672,0.84,wr_heavy,6.0,2048,12,171,44,3,weighted,random,streaming,in_order,none,64
RUN-000128,sequential_write_seq,499464,directed,default,0xe2110000,256,random,0.728,0.64,rd_heavy,2.9,512,17,197,21,0,fixed,sequential,streaming,in_order,none,512
RUN-000129,back_to_back_program_seq,614369176,constrained,default,0xd19ad000,1024,random,0.247,0.76,erase_mixed,11.5,1024,9,175,31,2,round_robin,strided,streaming,out_of_order,jitter,16
RUN-000130,mixed_rw_seq,660140265,constrained,corner,0x44a66000,64,random,0.631,0.26,wr_heavy,5.1,4096,5,28,10,2,fixed,random,oltp,in_order,none,128
RUN-000131,read_disturb_seq,1270504290,full_random,default,0x48b43000,4096,all_zeros,0.287,0.24,wr_heavy,15.3,512,1,23,63,0,weighted,random,streaming,in_order,none,128
RUN-000132,back_to_back_program_seq,1453786226,constrained,default,0xc820c000,64,all_zeros,0.403,0.11,rd_heavy,11.2,512,8,80,2,5,weighted,sequential,mixed,out_of_order,none,64
RUN-000133,read_disturb_seq,2076855559,constrained,stress,0xab20b000,4096,random,0.427,0.44,erase_mixed,55.5,2048,1,29,61,4,weighted,sequential,streaming,in_order,none,1024
RUN-000134,power_cycle_seq,1948622895,constrained,corner,0x02eea000,64,random,0.083,0.43,wr_heavy,14.7,512,10,168,11,1,fixed,sequential,streaming,in_order,jitter,32
RUN-000135,back_to_back_program_seq,1582129662,full_random,default,0x81292000,256,walking_ones,0.675,0.18,balanced,27.1,512,15,47,20,7,weighted,random,mixed,in_order,none,1024
RUN-000136,back_to_back_program_seq,1027074719,full_random,default,0x52e03000,4096,all_zeros,0.593,0.19,wr_heavy,22.8,1024,6,46,34,1,round_robin,sequential,streaming,out_of_order,jitter,64
RUN-000137,sequential_write_seq,2000072300,constrained,stress,0x208c0000,1024,walking_ones,0.687,0.63,rd_heavy,11.0,4096,1,54,18,3,fixed,random,streaming,in_order,none,64
RUN-000138,erase_suspend_seq,608422632,constrained,default,0xab91b000,1024,random,0.458,0.66,wr_heavy,7.6,512,13,108,60,3,weighted,random,mixed,in_order,jitter,64
RUN-000139,power_cycle_seq,2074024928,full_random,default,0x3b21d000,64,random,0.754,0.8,rd_heavy,24.0,1024,3,188,34,6,weighted,strided,streaming,out_of_order,jitter,1024
RUN-000140,back_to_back_program_seq,345857615,constrained,default,0x3eae6000,64,walking_ones,0.348,0.17,erase_mixed,3.8,512,17,175,32,1,weighted,sequential,oltp,out_of_order,none,32
RUN-000141,random_read_seq,1392535080,constrained,stress,0x4c8ee000,256,walking_ones,0.38,0.4,balanced,7.5,4096,9,184,5,1,weighted,random,oltp,in_order,stuck_at,64
RUN-000142,random_read_seq,1446927515,directed,stress,0xfc433000,64,random,0.365,0.47,rd_heavy,5.6,4096,14,95,31,0,fixed,strided,oltp,in_order,none,256
RUN-000143,back_to_back_program_seq,257231845,directed,corner,0x79d72000,256,all_zeros,0.615,0.33,erase_mixed,10.6,2048,5,65,2,0,weighted,sequential,streaming,out_of_order,none,256
RUN-000144,read_disturb_seq,1402408546,full_random,corner,0x30f06000,64,walking_ones,0.574,0.7,rd_heavy,13.0,1024,18,185,43,0,fixed,sequential,streaming,out_of_order,bitflip,512
RUN-000145,sequential_write_seq,1738402676,full_random,default,0x0b6e1000,64,random,0.34,0.8,erase_mixed,12.1,4096,2,104,4,3,fixed,random,boot,out_of_order,none,512
RUN-000146,mixed_rw_seq,1670801316,constrained,default,0x9107c000,64,checkerboard,0.733,0.32,balanced,13.4,4096,11,145,15,3,fixed,hotspot,streaming,in_order,none,512
RUN-000147,random_read_seq,1926972205,constrained,default,0xe7e66000,1024,random,0.026,0.53,balanced,13.8,512,6,35,49,5,weighted,hotspot,streaming,in_order,none,256
RUN-000148,power_cycle_seq,1535866094,constrained,default,0xb6af4000,256,checkerboard,0.759,0.85,rd_heavy,5.5,2048,9,116,39,6,fixed,strided,mixed,in_order,none,64
