run_id,host,os_release,simulator,simulator_version,cpu_model,cpu_cores_allocated,cpu_util_avg_pct,cpu_util_peak_pct,mem_util_avg_pct,peak_mem_mb,disk_io_mb,wall_time_s,cpu_time_s,license_wait_s,sim_perf_cycles_per_sec,temperature_c,voltage_mv,power_mode,power_w,grid_queue
RUN-000023,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,40.2,67.2,58.5,3216.0,262.3,26.17,38.81,7.38,725224.1,44.9,1167.8,turbo,6.27,long
RUN-000024,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-7763,2,78.0,100.0,33.4,2490.0,341.7,24.69,34.38,4.58,1487420.3,55.9,1121.3,low_power,4.58,short
RUN-000025,farm-node-01,rhel8.8,Questa,2023.4,Xeon-Gold-6338,1,54.5,78.1,35.0,3414.0,345.6,16.52,23.86,18.95,337805.5,83.2,1244.0,turbo,7.15,short
RUN-000026,farm-node-11,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,4,86.7,100.0,41.4,2344.8,430.8,15.25,17.04,7.86,1387963.5,62.2,1201.5,turbo,7.31,normal
RUN-000027,farm-node-07,rhel8.8,Xcelium,23.09.004,EPYC-7763,2,53.7,70.5,40.9,3114.3,27.5,7.98,7.63,6.32,445180.6,76.9,1157.3,low_power,5.18,short
RUN-000028,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-7763,2,84.5,96.8,41.5,2572.9,69.6,25.9,32.0,10.1,345441.9,96.9,1174.9,turbo,6.87,short
RUN-000029,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-9354,4,53.2,80.1,63.4,1427.0,226.6,14.7,10.33,19.87,87040.6,50.8,1170.7,nominal,3.61,normal
RUN-000030,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-9354,2,37.3,63.8,37.8,2644.6,440.5,25.3,36.78,4.0,2978261.0,87.0,1138.2,low_power,4.02,normal
RUN-000031,farm-node-02,rhel8.8,Questa,2023.4,EPYC-7763,2,60.8,67.0,61.4,2415.1,255.3,10.75,13.05,3.65,467733.6,81.5,1183.8,turbo,6.68,short
RUN-000032,farm-node-07,rhel8.8,Questa,2023.4,Xeon-Gold-6338,2,71.3,99.3,43.0,3859.4,308.6,25.23,21.71,14.4,408064.1,61.9,1165.4,nominal,4.18,long
RUN-000033,farm-node-02,rhel8.8,Questa,2023.4,EPYC-9354,2,51.4,75.4,68.0,4661.7,405.6,13.48,12.19,1.83,10876306.2,90.7,1119.0,nominal,4.03,normal
RUN-000034,farm-node-07,rhel8.8,VCS,2023.12-SP1,EPYC-9354,2,57.3,61.3,57.0,2755.2,285.1,26.32,36.15,12.27,828338.0,68.1,1165.1,nominal,3.74,short
RUN-000035,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,8,93.2,99.0,53.4,3422.4,175.0,27.51,39.78,14.91,8781130.1,66.2,1050.0,nominal,3.91,normal
RUN-000036,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-7763,8,77.2,80.4,79.6,3564.7,117.6,22.91,26.98,12.0,158445.1,55.4,1136.4,turbo,8.21,normal
RUN-000037,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-9354,4,82.4,86.7,60.7,2858.2,138.6,3.57,5.03,4.94,1723175.4,73.0,1160.1,turbo,6.55,long
RUN-000038,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-9354,8,85.4,89.8,58.4,1053.9,466.3,29.6,31.8,9.07,334846.6,64.7,1249.6,nominal,4.06,long
RUN-000039,farm-node-02,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,65.4,79.7,23.8,2960.0,475.7,29.22,42.07,0.34,727407.4,54.1,1118.4,low_power,3.29,long
RUN-000040,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-9354,2,69.4,77.8,64.5,2234.4,227.2,3.03,3.19,5.76,321153.8,54.3,1101.5,turbo,8.16,short
RUN-000041,farm-node-07,rhel8.8,Questa,2023.4,EPYC-7763,1,64.1,78.3,37.6,2431.3,381.3,2.57,3.57,18.49,7223582.9,42.3,1165.2,nominal,5.21,normal
RUN-000042,farm-node-19,rhel8.8,VCS,2023.12-SP1,EPYC-7763,4,68.0,94.4,33.6,4161.7,504.3,28.53,38.17,0.3,82463776.0,81.0,1187.0,nominal,5.13,short
RUN-000043,farm-node-07,rhel8.8,Questa,2023.4,EPYC-9354,2,70.5,84.5,43.0,2774.5,387.1,30.35,40.48,1.13,17767111.0,80.8,1123.9,nominal,5.2,normal
RUN-000044,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-7763,8,95.6,98.9,48.1,2917.4,184.7,14.37,15.62,28.96,167049.1,48.6,1086.5,turbo,6.03,normal
RUN-000045,farm-node-02,rhel8.8,Questa,2023.4,Xeon-Gold-6338,1,78.8,91.6,31.4,2592.7,167.7,15.32,18.87,10.14,2327610.1,59.1,1208.2,low_power,4.54,long
RUN-000046,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,63.1,73.9,48.5,1435.3,242.2,14.59,12.65,19.36,2401860.3,64.1,1131.9,low_power,4.14,long
RUN-000047,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,36.6,40.0,43.4,3917.3,36.5,24.46,34.33,9.27,119609.9,62.0,1213.8,nominal,5.13,normal
RUN-000048,farm-node-19,rhel8.8,Questa,2023.4,Xeon-Gold-6338,4,44.1,59.8,44.9,631.2,454.3,7.68,10.98,4.03,163191.5,73.7,1122.6,turbo,5.75,long
RUN-000049,farm-node-11,rhel8.8,Questa,2023.4,Xeon-Gold-6338,4,78.1,92.7,45.2,3494.1,343.4,12.29,18.2,3.45,1894554.6,40.1,1171.5,low_power,4.11,short
RUN-000050,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-7763,2,71.1,75.1,19.4,1151.1,67.6,9.6,14.08,0.69,850966.2,70.5,1250.0,turbo,7.14,long
RUN-000051,farm-node-07,rhel8.8,Questa,2023.4,Xeon-Gold-6338,2,42.6,61.3,34.7,3145.6,382.6,45.52,33.11,43.7,43440455.4,47.8,1226.5,nominal,3.91,long
RUN-000052,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-7763,4,65.1,83.2,41.5,4129.8,302.2,12.62,9.46,4.97,21177995.6,54.1,1238.2,nominal,4.12,short
RUN-000053,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,2,80.6,100.0,47.3,2781.7,5.0,20.07,25.79,4.01,595121.9,73.1,1144.4,turbo,5.74,normal
RUN-000054,farm-node-11,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,2,59.1,84.1,35.0,2903.8,422.7,13.66,21.12,0.75,2731944.1,83.7,1127.6,turbo,8.72,long
RUN-000055,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-9354,8,86.4,100.0,27.5,3283.4,396.4,20.38,30.7,7.64,1434324.1,84.7,1067.1,turbo,7.19,short
RUN-000056,farm-node-19,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,4,53.5,72.9,71.8,1903.2,132.8,9.13,7.73,4.14,1298160.9,73.0,1107.0,nominal,3.99,long
RUN-000057,farm-node-02,rhel8.8,Questa,2023.4,EPYC-7763,4,57.6,64.9,59.1,1519.9,350.9,2.92,4.36,4.44,4291147.6,81.1,1205.5,nominal,2.8,short
RUN-000058,farm-node-07,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,1,79.4,91.7,63.6,4623.7,129.1,30.14,42.42,7.48,2092026.0,59.6,1192.6,low_power,1.46,long
RUN-000059,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-9354,2,47.2,65.8,47.4,1362.0,309.2,17.66,17.32,18.01,4704924.1,55.7,1214.8,low_power,5.66,short
RUN-000060,farm-node-07,rhel8.8,Questa,2023.4,EPYC-7763,1,43.1,60.0,64.1,2446.5,237.2,14.23,13.02,13.46,965441.5,61.4,1170.5,nominal,3.15,short
RUN-000061,farm-node-01,rhel8.8,Questa,2023.4,EPYC-7763,4,75.4,100.0,56.2,5044.5,407.4,28.71,24.35,0.89,82610362.6,67.2,1161.4,nominal,3.36,long
RUN-000062,farm-node-19,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,80.0,100.0,46.7,2322.6,356.5,17.69,17.31,13.41,4326117.9,70.1,1145.8,nominal,3.43,normal
RUN-000063,farm-node-19,rhel8.8,VCS,2023.12-SP1,EPYC-9354,4,68.7,85.0,35.7,2766.8,265.0,23.11,30.63,8.84,652144.7,42.4,1144.8,nominal,3.7,short
RUN-000064,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,96.1,100.0,30.6,2295.4,543.0,17.66,20.98,9.59,3961846.0,58.0,1183.4,nominal,3.18,short
RUN-000065,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-7763,4,69.3,84.1,43.8,2757.6,226.4,29.08,22.28,21.42,123668.7,80.2,1100.3,turbo,6.39,normal
RUN-000066,farm-node-11,rhel8.8,Questa,2023.4,Xeon-Gold-6338,1,90.5,93.8,35.3,1895.2,234.1,17.21,23.51,20.93,1127496.2,59.7,1152.6,nominal,4.49,short
RUN-000067,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-9354,4,75.8,96.2,52.7,3245.2,260.5,26.94,32.33,22.28,2272657.9,25.0,1131.1,low_power,5.07,short
RUN-000068,farm-node-07,rhel8.8,Xcelium,23.09.004,EPYC-9354,2,86.1,100.0,43.1,1826.1,182.8,29.23,30.88,20.7,2909191.0,52.9,1087.6,nominal,6.21,short
RUN-000069,farm-node-19,rhel8.8,Questa,2023.4,EPYC-9354,8,80.4,100.0,54.2,1393.1,362.3,6.64,9.07,20.03,230847.0,55.9,1188.5,low_power,6.64,short
RUN-000070,farm-node-02,rhel8.8,Questa,2023.4,Xeon-Gold-6338,4,73.9,83.2,41.1,1758.8,236.2,15.96,19.82,7.89,644754.4,57.1,1128.8,low_power,4.06,short
RUN-000071,farm-node-19,rhel8.8,Questa,2023.4,Xeon-Gold-6338,4,46.8,54.1,54.5,2248.7,302.9,26.96,22.73,14.13,124385.0,75.4,1124.7,turbo,6.14,long
RUN-000072,farm-node-01,rhel8.8,Questa,2023.4,EPYC-7763,1,60.2,76.6,55.2,3452.4,438.7,19.68,20.24,13.21,2705258.1,89.2,1129.0,turbo,7.44,normal
RUN-000073,farm-node-11,rhel8.8,Questa,2023.4,Xeon-Gold-6338,1,79.6,96.5,45.7,3050.9,258.0,25.43,23.97,10.06,5066407.7,54.5,1191.9,low_power,2.82,long
RUN-000074,farm-node-07,rhel8.8,Questa,2023.4,EPYC-9354,2,82.1,100.0,49.1,1562.2,58.1,5.69,5.4,12.47,29915060.5,51.1,1182.5,turbo,6.73,short
RUN-000075,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,73.4,86.1,55.7,2797.1,361.1,3.9,4.1,34.82,69408157.4,67.2,1182.9,turbo,4.47,long
RUN-000076,farm-node-02,rhel8.8,Questa,2023.4,EPYC-9354,2,49.1,70.7,46.2,2145.1,339.8,7.61,10.31,9.09,32371388.8,56.3,1250.0,nominal,4.84,long
RUN-000077,farm-node-01,rhel8.8,Xcelium,23.09.004,EPYC-7763,2,47.3,57.7,47.3,3255.8,282.2,17.86,13.4,6.19,3646607.4,72.0,1201.2,turbo,10.38,short
RUN-000078,farm-node-01,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,67.5,91.3,51.4,1904.4,123.4,21.62,16.76,5.14,647548.3,53.5,1147.4,nominal,4.52,short
RUN-000079,farm-node-07,rhel8.8,Xcelium,23.09.004,EPYC-9354,4,62.7,88.1,59.9,3931.9,152.9,13.27,20.33,4.99,16619632.8,98.0,1163.8,turbo,5.11,short
RUN-000080,farm-node-19,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,2,64.5,85.9,54.3,2758.2,330.0,6.4,7.25,0.37,1048346.9,89.4,1211.4,turbo,7.7,long
RUN-000081,farm-node-02,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,54.2,77.9,77.2,2298.2,197.0,24.57,24.21,9.15,163267.2,50.1,1219.9,nominal,2.13,long
RUN-000082,farm-node-02,rhel8.8,Xcelium,23.09.004,EPYC-7763,8,29.2,56.1,36.4,2837.4,397.1,9.85,15.49,7.25,25436336.0,91.3,1221.4,nominal,4.07,normal
RUN-000083,farm-node-07,rhel8.8,Questa,2023.4,EPYC-9354,2,45.7,54.5,48.9,2798.7,478.5,26.47,21.25,15.13,424392.8,67.6,1202.1,nominal,4.18,short
RUN-000084,farm-node-11,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,4,46.0,51.5,52.5,1985.5,348.9,21.79,18.86,2.91,835053.9,65.1,1205.2,low_power,5.84,short
RUN-000085,farm-node-11,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,4,65.1,88.5,78.0,3572.3,399.2,14.37,12.91,6.01,5030538.8,76.6,1050.0,nominal,5.63,short
RUN-000086,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-7763,4,77.4,99.0,52.8,2172.9,254.3,6.37,9.32,1.36,7055719.9,68.7,1170.0,nominal,3.82,short
RUN-000087,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-7763,4,66.8,82.0,38.1,4048.1,360.4,12.2,12.33,6.67,2730330.5,46.8,1173.0,low_power,4.38,short
RUN-000088,farm-node-11,rhel8.8,Questa,2023.4,EPYC-9354,4,64.8,91.9,68.5,1988.2,216.1,27.48,26.75,3.54,3069767.5,65.1,1178.1,nominal,3.08,long
RUN-000089,farm-node-07,rhel8.8,Questa,2023.4,EPYC-7763,2,94.4,100.0,34.7,1558.8,107.4,27.02,33.06,1.35,571041.6,37.6,1163.4,nominal,1.17,long
RUN-000090,farm-node-19,rhel8.8,Questa,2023.4,EPYC-7763,4,71.2,79.9,14.3,2885.3,259.8,6.79,8.2,0.98,368410.5,70.3,1207.7,nominal,4.43,long
RUN-000091,farm-node-11,rhel8.8,Questa,2023.4,EPYC-9354,8,92.3,100.0,55.1,1247.4,457.9,2.6,3.41,10.16,5018649.6,97.4,1193.2,turbo,6.15,short
RUN-000092,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-7763,1,51.6,59.7,54.5,2444.7,425.0,3.9,3.14,0.03,2260993.3,34.9,1102.9,nominal,3.32,long
RUN-000093,farm-node-01,rhel8.8,Questa,2023.4,EPYC-7763,8,75.1,89.2,54.0,3758.8,56.8,11.17,15.93,20.99,2251974.4,79.4,1181.8,turbo,6.32,long
RUN-000094,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-7763,2,39.2,58.0,52.2,2389.1,199.7,10.69,9.94,0.99,3509248.2,70.5,1110.8,low_power,6.17,normal
RUN-000095,farm-node-07,rhel8.8,Xcelium,23.09.004,EPYC-9354,2,57.2,75.7,47.2,2566.1,321.9,19.54,20.24,33.71,62901.0,73.5,1215.6,turbo,8.63,normal
RUN-000096,farm-node-07,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,70.1,77.1,58.3,1462.0,311.7,10.42,12.28,12.53,27216087.4,64.1,1176.4,low_power,3.9,long
RUN-000097,farm-node-19,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,60.9,65.3,39.7,1345.0,350.2,27.08,33.3,4.27,1851972.8,92.6,1067.1,low_power,3.73,long
RUN-000098,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-7763,2,68.6,91.7,47.7,4667.7,357.1,4.72,5.42,1.54,14126300.0,25.0,1189.4,nominal,4.31,short
RUN-000099,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-9354,4,86.9,100.0,29.1,2405.4,286.8,16.54,15.37,5.07,230451.0,62.8,1148.4,nominal,2.37,long
RUN-000100,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-9354,2,57.5,84.2,35.1,2887.2,300.5,7.02,10.73,11.62,3803128.8,54.9,1105.8,low_power,3.89,normal
RUN-000101,farm-node-02,rhel8.8,Questa,2023.4,Xeon-Gold-6338,2,55.0,81.9,46.1,2039.6,417.3,7.27,6.45,9.99,697949.1,73.8,1194.0,turbo,8.27,short
RUN-000102,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,2,45.6,50.3,12.5,2561.0,47.2,23.91,32.17,1.92,995139.0,62.0,1189.0,low_power,4.08,long
RUN-000103,farm-node-02,rhel8.8,Questa,2023.4,EPYC-7763,1,67.1,87.8,51.8,1864.7,401.0,20.96,24.4,2.8,38167.9,77.5,1171.4,nominal,2.47,normal
RUN-000104,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-7763,4,68.0,85.0,45.2,2552.1,536.1,19.09,23.42,5.55,558747.0,69.8,1125.9,nominal,4.79,short
RUN-000105,farm-node-07,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,4,42.5,65.8,41.4,4150.0,458.1,27.19,30.2,1.89,1972305.4,85.2,1085.4,turbo,7.59,long
RUN-000106,farm-node-11,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,1,47.8,62.0,30.0,3364.3,525.7,10.17,14.87,39.87,668034.5,98.0,1050.0,nominal,4.57,short
RUN-000107,farm-node-02,rhel8.8,Xcelium,23.09.004,EPYC-9354,2,56.4,83.7,59.1,559.9,448.4,12.06,18.8,2.89,7304491.6,71.2,1148.3,low_power,2.29,long
RUN-000108,farm-node-11,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,4,44.7,50.1,55.2,1978.3,253.3,28.18,33.96,16.64,416860.0,31.2,1149.1,nominal,3.47,normal
RUN-000109,farm-node-11,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,8,80.7,84.3,41.7,2603.2,253.2,21.77,30.81,1.26,2032309.1,83.8,1151.6,nominal,4.13,short
RUN-000110,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-9354,2,51.0,68.4,23.4,1631.0,352.3,8.65,7.35,1.82,489326.2,94.8,1150.3,nominal,5.29,long
RUN-000111,farm-node-01,rhel8.8,Xcelium,23.09.004,EPYC-7763,2,64.6,74.2,58.2,2449.0,424.9,24.49,25.0,2.27,410310.5,35.7,1155.8,low_power,4.48,short
RUN-000112,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-9354,4,55.1,70.7,31.0,3680.6,374.9,14.77,11.74,31.34,5441572.1,88.2,1124.7,nominal,4.79,long
RUN-000113,farm-node-01,rhel8.8,Questa,2023.4,Xeon-Gold-6338,2,68.2,79.2,55.3,1907.5,326.5,11.96,13.82,0.91,66889.6,66.8,1235.6,turbo,9.23,short
RUN-000114,farm-node-02,rhel8.8,Questa,2023.4,EPYC-9354,2,90.4,100.0,57.2,3209.3,250.5,23.32,16.61,5.04,2331583.7,41.5,1197.3,nominal,3.79,normal
RUN-000115,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-9354,4,62.6,76.7,55.3,2421.5,297.1,9.52,14.78,13.98,5940554.2,62.6,1250.0,nominal,3.68,long
RUN-000116,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-9354,2,64.3,71.9,32.6,4031.4,447.5,12.04,12.69,15.04,10922916.8,51.9,1135.9,low_power,3.02,normal
RUN-000117,farm-node-01,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,1,83.2,100.0,49.0,3220.1,536.7,8.59,12.8,11.85,863871.4,88.0,1199.7,nominal,3.43,long
RUN-000118,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,1,48.4,71.6,43.5,2725.4,298.6,10.7,9.93,4.82,2284743.6,66.8,1124.9,nominal,4.37,normal
RUN-000119,farm-node-19,rhel8.8,Questa,2023.4,Xeon-Gold-6338,4,54.8,65.0,52.7,2664.8,105.0,24.03,35.89,31.15,71114.4,41.2,1180.9,low_power,4.44,short
RUN-000120,farm-node-11,rhel8.8,Questa,2023.4,EPYC-7763,2,63.2,74.1,51.7,3467.4,275.0,4.4,5.68,22.03,17664518.2,71.1,1144.9,turbo,7.67,short
RUN-000121,farm-node-07,rhel8.8,Questa,2023.4,EPYC-9354,2,51.1,54.8,35.5,2422.5,261.2,3.13,2.43,9.97,6327783.7,71.8,1164.1,nominal,3.65,normal
RUN-000122,farm-node-19,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,2,43.1,62.9,37.4,3185.8,568.7,13.8,15.46,10.93,2461094.9,55.6,1094.6,nominal,4.31,long
RUN-000123,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-9354,4,44.4,57.8,75.4,2341.3,259.7,22.33,35.01,10.13,330341.4,45.7,1181.9,nominal,2.16,normal
RUN-000124,farm-node-07,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,2,68.7,90.3,37.1,2778.0,437.2,47.73,54.0,1.81,41319898.8,70.4,1175.0,nominal,3.6,short
RUN-000125,farm-node-19,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,68.1,81.0,23.8,2437.9,209.0,3.42,3.74,1.53,757328.7,44.6,1097.5,nominal,3.89,long
RUN-000126,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-7763,8,54.5,83.4,34.4,2240.8,333.8,29.71,26.32,4.11,230238.3,69.6,1129.7,nominal,3.4,short
RUN-000127,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-7763,2,58.3,88.0,47.2,2749.5,220.7,9.39,12.03,7.02,434272.2,78.8,1191.6,nominal,3.47,normal
RUN-000128,farm-node-11,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,8,82.7,100.0,61.6,1972.4,627.8,10.47,7.79,19.81,1854936.8,49.5,1216.8,low_power,3.67,normal
RUN-000129,farm-node-07,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,41.0,60.4,60.8,2944.3,338.0,10.44,11.12,22.3,566089.7,78.1,1127.0,nominal,5.95,normal
RUN-000130,farm-node-19,rhel8.8,VCS,2023.12-SP1,EPYC-9354,1,72.4,100.0,44.5,4258.7,432.2,23.0,32.31,4.03,309570.3,38.2,1185.7,nominal,2.85,long
RUN-000131,farm-node-19,rhel8.8,Questa,2023.4,Xeon-Gold-6338,4,83.9,99.9,55.9,2001.2,14.0,11.78,10.91,0.38,1517668.0,63.8,1187.1,nominal,5.36,long
RUN-000132,farm-node-07,rhel8.8,Questa,2023.4,EPYC-7763,2,49.4,62.0,43.8,3855.3,203.8,5.78,6.74,8.11,945130.3,64.9,1174.4,low_power,4.32,short
RUN-000133,farm-node-07,rhel8.8,Questa,2023.4,Xeon-Gold-6338,4,73.2,100.0,18.2,2834.1,89.3,12.12,10.86,2.04,5551183.4,80.4,1188.7,nominal,3.77,long
RUN-000134,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,2,55.6,61.7,40.9,2821.6,328.8,6.74,9.56,5.68,766811.4,39.1,1174.5,nominal,4.01,long
