simulation_id,host,os_release,simulator,simulator_version,cpu_model,cpu_cores_allocated,cpu_util_avg_pct,cpu_util_peak_pct,mem_util_avg_pct,peak_mem_mb,disk_io_mb,wall_time_s,cpu_time_s,license_wait_s,sim_perf_cycles_per_sec,temperature_c,voltage_mv,power_mode,power_w,grid_queue
RUN-000028,farm-node-02,rhel8.8,Xcelium,23.09.004,EPYC-7763,3,67.3,73.4,50.2,3543.3,286.0,10.34,14.01,0.64,1734171.9,65.9,1133.1,nominal,3.26,short
RUN-000029,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-7763,3,65.5,90.9,49.2,2079.0,299.1,24.17,17.81,5.71,102223.9,38.2,1129.9,low_power,6.71,normal
RUN-000030,farm-node-01,rhel8.8,Questa,2023.4,EPYC-9354,4,65.4,80.9,52.0,3477.1,268.3,28.34,32.38,0.63,35804.6,34.7,1053.8,nominal,4.98,long
RUN-000031,farm-node-19,rhel8.8,Questa,2023.4,EPYC-7763,2,69.7,75.7,36.8,2007.5,174.0,16.48,16.93,2.05,168473.4,54.5,1172.9,nominal,3.53,short
RUN-000032,farm-node-19,rhel8.8,Questa,2023.4,EPYC-7763,2,66.9,76.5,64.3,1008.8,545.8,22.75,28.94,9.11,110632.2,70.9,1078.6,low_power,6.18,long
RUN-000033,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,48.8,56.4,43.7,1254.3,68.4,21.59,32.79,4.28,81856.6,39.0,1158.4,nominal,2.68,short
RUN-000034,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-7763,4,62.2,73.0,58.7,3002.6,243.0,14.95,22.73,8.76,649239.4,51.2,1093.5,low_power,3.53,normal
RUN-000035,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-9354,4,59.4,87.2,51.7,3961.3,292.5,35.48,50.06,4.68,946764.6,52.0,1082.8,low_power,4.49,long
RUN-000036,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-9354,2,45.4,67.9,42.2,3246.9,367.3,27.49,40.29,3.95,196687.7,53.3,1166.5,nominal,3.32,long
RUN-000037,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-9354,2,70.7,92.7,28.7,4065.6,490.1,6.66,8.69,6.3,3591093.5,62.6,1055.4,low_power,5.76,long
RUN-000038,farm-node-02,rhel8.8,Questa,2023.4,EPYC-7763,4,75.2,89.0,40.6,4315.1,420.9,26.03,33.9,9.28,385145.6,57.4,1110.9,low_power,4.66,long
RUN-000039,farm-node-02,rhel8.8,Questa,2023.4,EPYC-7763,3,85.7,93.0,21.8,1710.1,213.2,24.53,38.61,5.49,295541.5,41.6,1132.1,nominal,5.21,normal
RUN-000040,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,1,74.4,100.0,57.3,2589.3,321.2,29.88,29.1,44.1,681630.3,40.7,1102.5,nominal,1.61,short
RUN-000041,farm-node-01,rhel8.8,VCS,2023.12-SP1,EPYC-7763,1,34.5,43.6,75.5,2544.9,319.2,21.96,20.06,1.09,158764.9,52.3,1135.1,nominal,5.79,normal
RUN-000042,farm-node-01,rhel8.8,VCS,2023.12-SP1,EPYC-7763,1,69.1,82.3,43.1,3017.1,414.3,21.13,17.93,9.52,833196.3,75.1,1073.7,turbo,4.41,long
RUN-000043,farm-node-11,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,2,68.6,79.5,67.9,1409.9,268.5,15.69,24.01,1.04,1702480.4,57.9,1199.6,nominal,1.66,long
RUN-000044,farm-node-07,rhel8.8,Questa,2023.4,Xeon-Gold-6338,4,71.1,88.3,29.4,4404.9,442.4,8.63,7.72,9.95,2305373.0,52.5,1099.6,nominal,3.93,long
RUN-000045,farm-node-07,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,79.6,86.2,45.3,2146.3,529.5,12.2,13.82,0.36,137520.6,62.6,1185.8,nominal,4.51,short
RUN-000046,farm-node-01,rhel8.8,Questa,2023.4,EPYC-9354,2,51.6,59.2,45.7,2635.5,454.5,20.32,16.72,6.44,882594.7,60.7,1142.0,turbo,5.01,long
RUN-000047,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-7763,4,56.6,61.5,80.9,3331.3,277.5,11.21,13.63,11.09,305641.5,35.5,1141.5,nominal,4.55,short
RUN-000048,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,33.3,50.5,69.5,4131.6,205.0,7.44,7.77,1.43,2106592.2,63.3,1168.7,low_power,3.73,short
RUN-000049,farm-node-11,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,2,82.0,100.0,49.2,1917.4,433.4,28.58,31.89,0.14,71996.9,69.1,1153.0,turbo,5.44,normal
RUN-000050,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-9354,3,37.8,58.8,73.6,3902.3,151.8,6.19,8.3,9.19,397741.7,72.8,1035.1,nominal,4.27,long
RUN-000051,farm-node-19,rhel8.8,Questa,2023.4,Xeon-Gold-6338,3,64.5,71.8,55.0,3212.0,325.5,25.82,28.16,4.98,550561.7,50.2,1053.8,nominal,3.85,normal
RUN-000052,farm-node-02,rhel8.8,Questa,2023.4,EPYC-9354,3,77.0,83.8,32.3,2017.3,213.3,30.24,34.62,20.67,157869.7,45.8,1139.0,nominal,2.52,normal
RUN-000053,farm-node-11,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,3,48.9,72.7,41.3,1921.4,202.5,26.03,30.68,6.24,290454.7,68.2,1159.0,nominal,6.35,long
RUN-000054,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,3,59.5,77.6,49.6,4721.5,397.9,23.53,36.98,5.46,54942.7,46.2,1161.5,low_power,5.39,short
RUN-000055,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-7763,4,84.5,100.0,57.1,3986.6,471.5,31.31,35.91,0.15,151317.1,33.0,1070.4,nominal,3.21,long
RUN-000056,farm-node-19,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,1,70.1,75.4,47.0,2441.9,204.8,10.01,9.63,0.26,6382665.9,56.5,1173.7,nominal,4.17,short
RUN-000057,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-9354,4,40.3,67.5,75.7,1229.8,355.0,13.13,12.99,14.66,216522.6,64.2,1122.4,nominal,3.89,short
RUN-000058,farm-node-19,rhel8.8,Questa,2023.4,EPYC-7763,2,68.8,94.9,58.5,2740.4,236.5,29.08,25.45,4.86,303984.4,42.7,1109.0,low_power,4.3,long
RUN-000059,farm-node-07,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,1,54.7,65.4,55.6,2608.0,533.5,3.41,2.73,3.56,2053638.7,49.3,1139.2,low_power,4.87,short
RUN-000060,farm-node-19,rhel8.8,Questa,2023.4,EPYC-7763,3,46.7,61.0,48.3,1027.4,244.6,12.82,9.6,0.22,98225.4,60.9,1151.8,low_power,4.8,normal
RUN-000061,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,4,56.9,69.0,29.7,2161.2,274.1,25.73,20.33,10.23,694215.4,49.6,1151.7,low_power,3.72,short
RUN-000062,farm-node-07,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,3,46.5,56.1,47.6,2653.3,342.9,36.42,45.66,11.44,485857.6,61.2,1141.5,low_power,4.12,long
RUN-000063,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,36.8,46.3,55.6,1997.6,444.5,22.64,25.53,33.02,268616.0,45.2,1075.2,nominal,3.38,long
RUN-000064,farm-node-02,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,1,62.3,85.5,59.4,2085.5,126.1,28.76,30.36,5.0,457138.4,65.0,1116.2,nominal,4.1,short
RUN-000065,farm-node-02,rhel8.8,Xcelium,23.09.004,EPYC-7763,2,58.2,74.7,42.2,3431.0,18.4,13.49,19.06,12.74,352022.4,37.3,1068.5,low_power,3.63,short
RUN-000066,farm-node-01,rhel8.8,Questa,2023.4,EPYC-9354,1,39.4,60.4,49.9,4023.5,167.2,4.31,5.13,3.04,1361119.7,61.8,1166.6,nominal,4.28,short
RUN-000067,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-7763,1,75.8,85.2,40.4,1571.0,454.9,8.58,13.33,11.51,575668.9,68.9,1157.6,nominal,4.73,normal
RUN-000068,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-9354,4,47.9,65.9,49.8,3275.8,260.6,21.43,20.25,13.08,1863684.9,68.7,1077.8,low_power,3.95,short
RUN-000069,farm-node-19,rhel8.8,VCS,2023.12-SP1,EPYC-7763,1,60.8,71.0,44.4,2981.6,422.5,29.94,32.45,15.64,1193655.4,62.2,1110.2,nominal,4.73,short
RUN-000070,farm-node-02,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,1,55.0,58.1,36.8,2546.2,477.5,9.95,7.95,5.03,456928.4,63.1,1115.6,low_power,5.42,normal
RUN-000071,farm-node-19,rhel8.8,Questa,2023.4,EPYC-9354,1,48.0,76.9,57.0,1642.5,530.8,32.95,32.98,2.66,1133620.7,70.9,1095.8,low_power,3.55,short
RUN-000072,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-7763,1,67.9,89.0,47.9,3181.2,380.0,3.94,5.27,16.88,4812306.1,52.3,1080.8,low_power,3.95,short
RUN-000073,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,4,52.5,73.1,62.2,746.3,535.8,11.53,16.41,5.98,2213412.6,44.3,1122.0,nominal,4.45,short
RUN-000074,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-7763,1,82.3,100.0,38.3,2002.8,184.6,19.02,22.76,3.77,2043000.5,38.6,1094.4,nominal,3.56,normal
RUN-000075,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,69.1,88.0,64.8,3069.1,695.5,11.91,8.69,6.64,3853743.9,33.4,1105.2,low_power,5.05,long
RUN-000076,farm-node-19,rhel8.8,Questa,2023.4,EPYC-9354,3,48.6,63.2,55.7,1437.5,196.4,3.11,2.87,11.72,1339435.7,92.8,1153.6,nominal,4.44,long
RUN-000077,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-9354,2,69.7,91.9,44.6,2861.5,238.1,29.13,22.54,12.32,35361.6,38.2,1169.3,turbo,6.45,long
RUN-000078,farm-node-07,rhel8.8,Questa,2023.4,EPYC-9354,4,49.5,64.9,66.2,2534.7,426.2,6.02,5.2,2.24,913895.7,50.5,1134.0,low_power,4.62,long
RUN-000079,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-7763,4,34.0,45.6,27.4,3873.9,367.6,19.31,30.44,6.92,1629041.8,87.1,1164.2,low_power,5.84,long
RUN-000080,farm-node-07,rhel8.8,Questa,2023.4,EPYC-7763,4,45.8,71.6,33.5,3286.4,325.6,5.75,9.0,6.8,529396.5,71.1,1105.9,low_power,5.47,normal
RUN-000081,farm-node-02,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,1,80.2,97.7,32.7,3134.0,86.9,14.01,18.31,1.62,2072214.7,28.2,1140.5,low_power,2.0,short
RUN-000082,farm-node-11,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,2,61.3,84.4,55.8,2800.0,475.1,26.37,31.69,7.79,131972.8,72.9,1053.6,low_power,4.11,short
RUN-000083,farm-node-19,rhel8.8,Questa,2023.4,EPYC-7763,4,75.5,85.6,42.5,3286.0,423.2,28.71,24.9,6.45,695991.8,62.1,1172.0,nominal,4.83,short
RUN-000084,farm-node-11,rhel8.8,Questa,2023.4,EPYC-7763,2,77.2,83.3,45.4,3886.6,367.1,14.68,14.03,44.19,1262357.3,66.0,1104.6,turbo,7.3,normal
RUN-000085,farm-node-02,rhel8.8,Questa,2023.4,EPYC-9354,1,61.4,86.6,64.1,2958.7,456.8,28.02,25.94,4.53,35989.4,59.2,1143.9,nominal,5.35,long
RUN-000086,farm-node-01,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,3,49.0,61.2,60.6,2276.6,81.6,15.88,25.04,13.38,429864.0,58.5,1172.4,low_power,4.6,short
RUN-000087,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,65.2,74.4,47.3,2995.3,183.3,25.06,19.12,3.73,145578.7,47.5,1081.3,nominal,3.97,long
RUN-000088,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,1,70.7,73.8,38.8,3005.7,197.0,10.58,14.68,12.13,110002.4,68.1,1100.2,low_power,4.72,long
RUN-000089,farm-node-19,rhel8.8,VCS,2023.12-SP1,EPYC-7763,3,70.5,91.5,34.3,4369.0,431.3,19.3,13.7,14.78,75282.3,56.0,1097.8,low_power,4.71,short
RUN-000090,farm-node-07,rhel8.8,VCS,2023.12-SP1,EPYC-9354,1,49.4,67.0,65.3,2389.7,280.4,22.95,34.48,28.16,412434.0,39.8,1122.3,low_power,3.1,short
RUN-000091,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-9354,4,64.4,74.3,59.7,4250.9,246.6,19.42,26.05,4.64,1737208.3,69.6,1075.8,nominal,4.74,long
RUN-000092,farm-node-01,rhel8.8,Xcelium,23.09.004,EPYC-9354,3,61.1,81.4,76.5,2297.5,5.0,9.43,13.34,5.52,2875261.4,41.0,1136.9,turbo,5.45,short
RUN-000093,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-7763,1,68.6,97.8,56.3,3590.2,274.3,28.41,34.04,4.62,1069821.8,62.3,1125.6,turbo,6.7,normal
RUN-000094,farm-node-19,rhel8.8,Questa,2023.4,Xeon-Gold-6338,3,54.2,63.9,53.9,4168.4,484.9,20.44,24.73,1.43,959888.4,50.5,1142.0,nominal,2.33,long
RUN-000095,farm-node-19,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,3,82.6,100.0,32.3,2681.2,237.3,32.92,39.52,4.68,1594741.5,50.4,1129.6,nominal,3.09,long
RUN-000096,farm-node-02,rhel8.8,Xcelium,23.09.004,EPYC-9354,3,93.2,100.0,60.9,2256.0,317.9,5.24,6.04,7.04,4058972.5,44.4,1093.1,low_power,3.81,normal
RUN-000097,farm-node-07,rhel8.8,Questa,2023.4,Xeon-Gold-6338,1,58.4,88.1,64.6,510.3,5.0,2.67,2.22,9.93,231620.6,46.7,1096.4,nominal,3.41,normal
RUN-000098,farm-node-07,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,3,56.4,69.7,28.8,2182.0,305.4,6.55,9.08,0.0,552810.5,61.4,1133.1,turbo,8.12,long
RUN-000099,farm-node-01,rhel8.8,Questa,2023.4,EPYC-7763,2,46.1,56.4,59.1,4346.6,184.9,7.44,9.6,3.0,1587316.3,48.8,1201.2,low_power,3.82,short
RUN-000100,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-7763,3,74.7,92.2,39.8,3852.3,228.6,25.26,35.42,7.73,73314.0,56.5,1146.7,nominal,3.68,normal
RUN-000101,farm-node-19,rhel8.8,VCS,2023.12-SP1,EPYC-9354,3,51.9,75.3,31.8,2243.5,5.0,17.74,18.85,4.23,952127.8,37.9,1067.6,low_power,2.32,short
RUN-000102,farm-node-02,rhel8.8,Xcelium,23.09.004,EPYC-7763,4,44.6,70.6,48.4,976.8,346.5,4.55,3.93,9.89,592273.4,49.2,1101.7,low_power,3.17,normal
RUN-000103,farm-node-02,rhel8.8,Xcelium,23.09.004,EPYC-7763,2,62.8,90.2,59.2,3914.7,247.6,25.36,25.83,3.75,626195.8,52.8,1115.7,turbo,5.31,normal
RUN-000104,farm-node-07,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,43.4,62.5,62.0,2558.4,684.7,19.83,17.89,7.21,214505.4,52.7,1091.1,nominal,4.28,short
RUN-000105,farm-node-19,rhel8.8,VCS,2023.12-SP1,EPYC-7763,1,60.6,80.9,53.9,2860.8,476.9,9.6,9.25,6.96,3451905.7,68.9,1172.0,nominal,4.18,short
RUN-000106,farm-node-11,rhel8.8,Questa,2023.4,EPYC-9354,3,46.0,49.0,42.6,2238.7,364.0,12.13,13.14,1.16,1539800.9,49.5,1172.4,nominal,4.08,short
RUN-000107,farm-node-11,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,3,36.2,62.9,45.9,3178.5,321.6,30.88,31.33,0.97,1508446.1,57.8,1215.6,nominal,4.22,long
RUN-000108,farm-node-02,rhel8.8,Questa,2023.4,EPYC-7763,4,36.8,60.5,51.0,2669.6,5.0,10.57,13.12,8.13,3469509.8,65.8,1133.9,low_power,3.67,short
RUN-000109,farm-node-01,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,4,59.5,83.3,24.0,1958.0,382.4,25.31,31.42,17.37,84689.7,58.2,1240.0,nominal,5.04,long
RUN-000110,farm-node-02,rhel8.8,Xcelium,23.09.004,EPYC-7763,4,64.9,90.1,45.2,3572.2,451.6,11.03,16.49,21.29,1759186.7,65.0,1060.3,nominal,3.32,short
RUN-000111,farm-node-01,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,3,38.5,67.2,45.6,2862.1,290.8,23.82,26.67,16.86,105158.2,38.4,1095.9,nominal,4.26,normal
RUN-000112,farm-node-01,rhel8.8,Questa,2023.4,EPYC-9354,4,62.9,91.1,21.7,3772.3,230.8,20.51,16.27,1.18,3713298.2,49.2,1092.2,low_power,4.77,normal
RUN-000113,farm-node-19,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,3,72.1,100.0,32.8,1734.7,473.6,15.37,15.48,1.77,309670.7,65.5,1132.2,turbo,4.59,long
RUN-000114,farm-node-01,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,4,44.7,57.2,36.0,2343.1,222.3,5.96,7.57,1.77,284532.2,46.8,1081.0,low_power,4.83,short
RUN-000115,farm-node-02,rhel8.8,Questa,2023.4,Xeon-Gold-6338,4,61.1,73.2,38.1,3535.1,218.3,9.8,10.55,1.33,994640.6,51.9,1065.5,turbo,7.04,long
RUN-000116,farm-node-02,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,37.8,47.6,46.4,2793.8,468.9,9.06,10.18,8.53,1522408.8,40.2,1189.6,nominal,5.72,short
RUN-000117,farm-node-19,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,69.5,80.1,52.7,2649.4,274.8,19.43,29.89,40.85,895967.1,53.8,1187.7,nominal,4.26,short
RUN-000118,farm-node-19,rhel8.8,Questa,2023.4,EPYC-9354,4,70.5,96.6,41.0,3441.8,101.9,20.14,24.67,2.29,491908.8,37.3,1123.7,nominal,3.65,normal
RUN-000119,farm-node-07,rhel8.8,VCS,2023.12-SP1,EPYC-9354,4,18.9,25.3,25.9,2115.6,161.1,31.58,31.42,24.42,1001031.1,49.8,1069.7,nominal,3.22,normal
RUN-000120,farm-node-19,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,65.1,71.5,53.0,2601.4,295.1,22.6,19.87,24.16,148356.4,61.2,1110.2,low_power,3.51,short
RUN-000121,farm-node-07,rhel8.8,Xcelium,23.09.004,EPYC-7763,4,31.2,44.9,45.2,3377.9,397.9,12.16,19.0,22.79,2525368.5,64.7,1083.1,nominal,5.03,long
RUN-000122,farm-node-01,rhel8.8,VCS,2023.12-SP1,EPYC-9354,4,42.3,53.3,63.5,3449.4,246.9,4.75,5.81,5.65,957470.1,48.9,1092.8,turbo,5.08,short
RUN-000123,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-9354,4,78.1,100.0,68.6,2542.0,223.8,30.54,36.35,7.67,407911.7,59.5,1068.0,nominal,4.44,long
RUN-000124,farm-node-02,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,1,63.6,88.5,61.7,2958.1,118.0,10.7,10.48,4.51,10584664.7,47.0,1129.4,low_power,3.74,short
RUN-000125,farm-node-07,rhel8.8,Xcelium,23.09.004,EPYC-9354,3,54.1,69.5,41.8,3676.8,394.8,30.79,38.54,16.43,375079.7,73.6,1050.0,nominal,3.11,normal
RUN-000126,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,4,57.7,72.3,51.2,1817.0,404.5,15.7,12.72,0.31,848222.2,64.5,1144.8,low_power,4.42,long
RUN-000127,farm-node-07,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,2,62.3,72.7,50.4,3612.4,210.0,6.43,6.18,2.35,776155.8,71.0,1141.2,nominal,4.79,short
RUN-000128,farm-node-01,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,3,47.7,59.9,27.1,2269.0,89.4,26.81,34.74,6.37,2040490.2,70.1,1154.2,nominal,2.82,long
RUN-000129,farm-node-01,rhel8.8,Questa,2023.4,EPYC-7763,3,67.0,92.8,26.9,2522.1,407.4,24.69,22.68,9.82,2357752.9,72.0,1072.1,low_power,3.25,short
RUN-000130,farm-node-11,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,33.8,49.0,58.3,1725.1,306.1,13.05,14.25,9.99,65336.3,46.3,1073.4,low_power,4.78,long
RUN-000131,farm-node-01,rhel8.8,VCS,2023.12-SP1,EPYC-9354,3,75.6,97.6,68.8,2585.0,372.6,24.25,27.08,0.58,401472.7,50.1,1136.1,turbo,7.39,normal
RUN-000132,farm-node-07,rhel8.8,VCS,2023.12-SP1,EPYC-9354,1,74.7,93.1,53.6,1964.7,296.5,28.98,38.25,16.85,367117.6,66.8,1165.7,turbo,7.09,long
RUN-000133,farm-node-02,rhel8.8,Questa,2023.4,EPYC-7763,1,28.1,31.9,65.1,3173.1,125.5,9.59,8.2,16.15,2390548.4,29.6,1112.6,nominal,4.59,normal
RUN-000134,farm-node-07,rhel8.8,Questa,2023.4,EPYC-7763,3,66.3,75.4,66.2,2543.9,295.3,17.67,26.66,10.79,759162.3,49.3,1195.8,turbo,4.92,long
RUN-000135,farm-node-07,rhel8.8,Questa,2023.4,Xeon-Gold-6338,3,54.2,62.2,44.0,1321.3,394.8,17.74,18.13,1.46,244258.2,46.8,1102.7,nominal,5.56,short
