run_id,sequence_name,seed,rand_mode,constraint_set,rand_addr_base,rand_addr_range_kb,rand_data_pattern,payload_entropy,rand_rw_ratio,rand_opcode_mix,rand_packet_len_bytes,rand_delay_min_ns,rand_delay_max_ns,rand_idle_cycles,rand_wait_states,rand_priority_mode,rand_traffic_pattern,rand_workload,rand_order,rand_err_inj_mode,rand_transaction_count
RUN-000044,irq_storm_seq,1728034467,constrained,corner,0x0f00,64,random,0.237,0.31,reg_wr,64,39,308,5,9,fixed,sparse,dma_stream,in_order,bitflip,192
RUN-000045,dma_burst_seq,449059651,constrained,default,0xbd00,16,all_ones,0.189,0.5,reg_wr,8,26,115,16,8,fixed,ping_pong,console,in_order,glitch,48
RUN-000046,reset_recovery_seq,2122512312,constrained,default,0xf600,16,walking_ones,0.161,0.49,reg_rd,16,33,81,17,3,weighted,burst_hotspot,sensor_poll,in_order,none,192
RUN-000047,uart_loopback_seq,49926152,directed,stress,0xd200,4,walking_ones,0.366,0.61,reg_wr,16,22,246,5,2,weighted,sparse,dma_stream,in_order,glitch,192
RUN-000048,backpressure_seq,1556018083,constrained,corner,0x9c00,4,random,0.629,0.65,balanced,16,5,204,18,8,weighted,ping_pong,boot,in_order,bitflip,192
RUN-000049,uart_loopback_seq,1815798936,full_random,stress,0xde00,64,random,0.717,0.33,reg_rd,64,19,229,21,10,weighted,uniform,sensor_poll,in_order,glitch,96
RUN-000050,reg_sweep_seq,314776907,constrained,stress,0x8600,64,random,0.595,0.54,balanced,64,2,377,29,11,fixed,sparse,dma_stream,in_order,none,192
RUN-000051,backpressure_seq,1397096016,constrained,default,0x2c00,4,incremental,0.854,0.47,balanced,16,8,172,15,2,fixed,burst_hotspot,dma_stream,in_order,none,384
RUN-000052,uart_loopback_seq,384278239,constrained,stress,0x6100,16,incremental,0.689,0.71,balanced,128,32,57,31,9,fixed,uniform,console,in_order,none,192
RUN-000053,uart_loopback_seq,339319995,constrained,corner,0xba00,16,random,0.299,0.36,reg_wr,8,39,218,4,3,weighted,burst_hotspot,boot,in_order,none,384
RUN-000054,uart_loopback_seq,491820783,full_random,default,0x1d00,16,random,0.312,0.4,reg_wr,16,25,116,2,3,fixed,uniform,dma_stream,in_order,glitch,96
RUN-000055,uart_loopback_seq,775283917,constrained,default,0x5800,4,random,0.494,0.28,reg_rd,64,39,93,7,11,weighted,sparse,console,in_order,none,192
RUN-000056,irq_storm_seq,1554944201,full_random,stress,0x6a00,16,incremental,0.417,0.24,reg_wr,128,4,107,2,3,fixed,burst_hotspot,sensor_poll,in_order,bitflip,384
RUN-000057,uart_loopback_seq,477377038,constrained,corner,0x3f00,4,random,0.905,0.31,reg_wr,8,9,132,15,5,fixed,burst_hotspot,console,in_order,none,48
RUN-000058,dma_burst_seq,1587314550,full_random,stress,0xd000,16,random,0.64,0.28,reg_wr,128,30,111,30,2,fixed,uniform,boot,in_order,glitch,192
RUN-000059,uart_loopback_seq,1599203603,directed,default,0xa500,16,random,0.483,0.46,reg_rd,16,13,343,8,2,weighted,ping_pong,console,in_order,none,48
RUN-000060,dma_burst_seq,1080333214,full_random,default,0x9600,16,incremental,0.15,0.53,reg_wr,8,6,267,24,10,weighted,ping_pong,sensor_poll,in_order,none,96
RUN-000061,irq_storm_seq,1410361674,constrained,default,0x3100,4,incremental,0.434,0.6,balanced,8,38,390,22,8,fixed,uniform,sensor_poll,in_order,none,384
RUN-000062,dma_burst_seq,1756356034,constrained,corner,0x0f00,16,walking_ones,0.104,0.4,reg_wr,128,25,166,28,11,weighted,uniform,boot,in_order,bitflip,192
RUN-000063,dma_burst_seq,1677472494,constrained,stress,0x0b00,64,all_ones,0.246,0.65,reg_wr,8,26,264,8,1,fixed,ping_pong,dma_stream,in_order,none,96
RUN-000064,parity_stress_seq,944535972,constrained,default,0x4f00,64,all_ones,0.132,0.63,balanced,8,35,372,19,8,weighted,sparse,console,in_order,glitch,192
RUN-000065,reg_sweep_seq,1415973407,constrained,default,0xc700,64,incremental,0.857,0.25,reg_wr,16,11,380,18,3,weighted,uniform,console,in_order,none,384
RUN-000066,uart_loopback_seq,1572005899,constrained,stress,0xd700,4,random,0.398,0.64,balanced,64,1,77,3,10,weighted,sparse,sensor_poll,in_order,bitflip,192
RUN-000067,irq_storm_seq,807773217,full_random,default,0x2300,4,random,0.575,0.46,reg_rd,16,23,408,26,2,weighted,uniform,boot,in_order,none,192
RUN-000068,irq_storm_seq,873906597,full_random,corner,0x0200,16,random,0.693,0.71,reg_wr,16,12,408,7,11,weighted,sparse,boot,in_order,none,384
RUN-000069,reg_sweep_seq,1618650378,constrained,corner,0x6800,4,incremental,0.17,0.45,reg_wr,128,1,45,5,0,weighted,burst_hotspot,sensor_poll,out_of_order,bitflip,192
RUN-000070,uart_loopback_seq,1843534129,constrained,corner,0x9300,16,random,0.737,0.21,reg_wr,64,21,95,24,1,fixed,ping_pong,dma_stream,out_of_order,none,96
RUN-000071,reg_sweep_seq,862847913,constrained,default,0x7100,64,walking_ones,0.349,0.56,reg_rd,16,15,414,6,7,weighted,ping_pong,boot,in_order,none,768
RUN-000072,reg_sweep_seq,1741420405,constrained,stress,0xeb00,64,all_ones,0.447,0.3,reg_wr,16,23,180,24,11,weighted,ping_pong,dma_stream,in_order,none,768
RUN-000073,uart_loopback_seq,2065759418,constrained,default,0x3e00,16,walking_ones,0.506,0.61,balanced,16,3,78,14,8,weighted,uniform,sensor_poll,out_of_order,none,384
RUN-000074,dma_burst_seq,1577608169,constrained,corner,0x0a00,64,all_ones,0.311,0.24,reg_rd,8,28,299,8,11,weighted,uniform,console,in_order,none,768
RUN-000075,reset_recovery_seq,920615177,constrained,corner,0x4000,16,random,0.247,0.6,reg_wr,8,28,377,5,6,fixed,ping_pong,dma_stream,in_order,bitflip,384
RUN-000076,reg_sweep_seq,1454795610,constrained,default,0x2600,4,walking_ones,0.239,0.32,reg_rd,16,14,326,20,1,fixed,ping_pong,sensor_poll,in_order,none,96
RUN-000077,backpressure_seq,1454662639,constrained,corner,0x1c00,4,random,0.657,0.28,reg_wr,8,38,171,13,10,fixed,ping_pong,dma_stream,out_of_order,none,48
RUN-000078,dma_burst_seq,1819794931,constrained,corner,0x3400,64,random,0.482,0.77,reg_wr,128,24,97,3,2,weighted,burst_hotspot,sensor_poll,out_of_order,bitflip,96
RUN-000079,irq_storm_seq,1879874040,full_random,default,0xaa00,16,incremental,0.537,0.26,reg_wr,64,20,225,20,3,weighted,uniform,dma_stream,in_order,none,384
RUN-000080,reg_sweep_seq,1243219533,constrained,default,0xf900,4,random,0.524,0.48,reg_wr,16,17,173,16,11,weighted,burst_hotspot,console,in_order,none,192
RUN-000081,reset_recovery_seq,1007477001,constrained,default,0x3b00,16,random,0.324,0.7,reg_wr,8,30,40,4,0,weighted,uniform,dma_stream,in_order,none,96
RUN-000082,dma_burst_seq,1452937885,constrained,corner,0x7000,4,random,0.761,0.46,reg_wr,64,36,368,13,9,fixed,ping_pong,dma_stream,in_order,bitflip,192
RUN-000083,dma_burst_seq,887197914,constrained,corner,0xf700,4,random,0.316,0.66,reg_wr,8,25,234,10,3,fixed,uniform,dma_stream,in_order,bitflip,192
RUN-000084,irq_storm_seq,818897622,constrained,default,0xc400,4,incremental,0.335,0.73,reg_wr,8,1,84,31,4,weighted,ping_pong,console,in_order,none,192
RUN-000085,uart_loopback_seq,1218436386,constrained,stress,0x5c00,16,walking_ones,0.63,0.51,reg_rd,16,6,302,3,3,fixed,ping_pong,dma_stream,in_order,bitflip,48
RUN-000086,dma_burst_seq,510050654,full_random,corner,0xa700,4,random,0.655,0.41,balanced,16,9,165,13,5,weighted,ping_pong,boot,in_order,none,192
RUN-000087,reg_sweep_seq,916865492,constrained,default,0xeb00,4,random,0.18,0.76,balanced,16,20,414,0,1,weighted,ping_pong,dma_stream,out_of_order,none,96
RUN-000088,backpressure_seq,1030693629,constrained,corner,0x5300,4,random,0.602,0.56,balanced,16,30,236,23,10,weighted,uniform,dma_stream,in_order,none,48
RUN-000089,reg_sweep_seq,2040488009,full_random,stress,0xa800,16,walking_ones,0.45,0.67,reg_rd,16,18,136,28,0,weighted,burst_hotspot,console,in_order,none,48
RUN-000090,uart_loopback_seq,888476522,directed,stress,0x6c00,4,random,0.236,0.46,balanced,16,10,39,7,11,fixed,burst_hotspot,sensor_poll,in_order,none,768
RUN-000091,uart_loopback_seq,206214484,constrained,corner,0x1500,16,incremental,0.933,0.22,reg_wr,8,10,137,25,4,weighted,sparse,sensor_poll,in_order,none,48
RUN-000092,reg_sweep_seq,1378782008,full_random,stress,0x9a00,4,incremental,0.506,0.72,reg_rd,8,16,29,21,11,fixed,uniform,dma_stream,in_order,none,192
RUN-000093,irq_storm_seq,2115549120,directed,default,0xfd00,16,walking_ones,0.195,0.73,reg_rd,128,38,338,26,7,weighted,uniform,console,in_order,glitch,192
RUN-000094,reg_sweep_seq,878627018,full_random,corner,0x2a00,4,incremental,0.878,0.59,balanced,64,22,63,16,11,fixed,sparse,console,in_order,none,192
RUN-000095,backpressure_seq,615443963,constrained,default,0xa100,4,walking_ones,0.566,0.39,reg_wr,16,15,54,12,10,fixed,sparse,console,in_order,none,192
RUN-000096,uart_loopback_seq,1274255146,constrained,stress,0x6a00,16,random,0.634,0.54,reg_rd,16,30,168,29,2,weighted,uniform,sensor_poll,in_order,none,768
RUN-000097,parity_stress_seq,1151860759,constrained,stress,0xec00,4,incremental,0.734,0.43,reg_rd,16,34,365,1,9,fixed,burst_hotspot,console,in_order,none,48
RUN-000098,irq_storm_seq,183895686,constrained,corner,0xdf00,64,incremental,0.696,0.43,reg_rd,16,3,51,26,11,weighted,ping_pong,dma_stream,out_of_order,none,384
RUN-000099,reg_sweep_seq,1402337403,constrained,default,0x7900,16,incremental,0.409,0.72,reg_wr,64,7,112,10,6,fixed,burst_hotspot,dma_stream,in_order,none,96
RUN-000100,irq_storm_seq,1317797610,constrained,default,0x4800,4,all_ones,0.351,0.29,balanced,8,3,115,30,7,fixed,burst_hotspot,console,in_order,bitflip,48
RUN-000101,uart_loopback_seq,1654899187,constrained,stress,0xe900,16,random,0.834,0.61,reg_wr,8,17,416,1,8,fixed,burst_hotspot,sensor_poll,in_order,none,192
RUN-000102,dma_burst_seq,984364434,constrained,corner,0x8900,16,incremental,0.771,0.56,balanced,128,37,102,30,6,weighted,ping_pong,console,out_of_order,none,48
RUN-000103,uart_loopback_seq,1384949119,constrained,default,0xd700,16,walking_ones,0.871,0.5,reg_rd,8,31,253,29,3,weighted,uniform,sensor_poll,in_order,none,384
RUN-000104,uart_loopback_seq,912173746,constrained,default,0xca00,64,all_ones,0.764,0.53,balanced,64,32,276,24,2,fixed,burst_hotspot,console,out_of_order,none,192
RUN-000105,irq_storm_seq,669497902,constrained,default,0x4900,4,all_ones,0.391,0.28,reg_wr,128,31,291,22,0,fixed,uniform,dma_stream,out_of_order,none,768
RUN-000106,dma_burst_seq,1268795592,full_random,stress,0x1d00,4,random,0.878,0.42,reg_rd,8,24,353,18,10,weighted,uniform,sensor_poll,out_of_order,none,768
RUN-000107,reg_sweep_seq,1884709097,constrained,corner,0x4b00,16,all_ones,0.335,0.34,reg_wr,16,30,272,15,5,fixed,burst_hotspot,console,out_of_order,glitch,768
RUN-000108,parity_stress_seq,1750348393,constrained,default,0x0100,16,random,0.56,0.27,balanced,8,11,216,7,0,weighted,burst_hotspot,sensor_poll,in_order,none,384
RUN-000109,uart_loopback_seq,1418354792,constrained,default,0x5200,16,random,0.641,0.47,reg_wr,8,18,172,8,10,fixed,sparse,sensor_poll,in_order,none,96
RUN-000110,dma_burst_seq,167306603,constrained,stress,0xed00,64,walking_ones,0.354,0.71,reg_rd,64,16,73,0,3,weighted,ping_pong,console,in_order,bitflip,768
RUN-000111,reg_sweep_seq,1853603641,directed,default,0x2a00,4,incremental,0.319,0.74,balanced,16,11,346,9,6,fixed,burst_hotspot,sensor_poll,in_order,none,192
RUN-000112,dma_burst_seq,369170117,full_random,default,0x6600,4,random,0.32,0.23,reg_wr,64,10,295,31,0,fixed,sparse,boot,in_order,none,768
RUN-000113,reset_recovery_seq,497990995,constrained,default,0x2300,16,incremental,0.499,0.51,reg_rd,16,26,74,1,3,fixed,burst_hotspot,sensor_poll,in_order,none,48
RUN-000114,uart_loopback_seq,1864799539,constrained,stress,0xe800,16,random,0.395,0.53,balanced,8,8,144,6,0,weighted,ping_pong,dma_stream,in_order,none,192
RUN-000115,reset_recovery_seq,1735745734,constrained,corner,0x2d00,4,walking_ones,0.763,0.39,balanced,64,38,102,6,3,weighted,burst_hotspot,dma_stream,in_order,none,384
RUN-000116,irq_storm_seq,1226621501,directed,default,0x3000,64,random,0.774,0.56,balanced,64,28,103,22,9,fixed,burst_hotspot,boot,in_order,bitflip,768
RUN-000117,irq_storm_seq,1639331730,constrained,corner,0x3600,4,random,0.718,0.44,reg_rd,64,19,155,14,6,weighted,uniform,console,in_order,glitch,384
RUN-000118,parity_stress_seq,1284364331,constrained,default,0x7a00,4,random,0.617,0.31,reg_rd,64,27,49,30,4,fixed,uniform,dma_stream,in_order,none,48
RUN-000119,dma_burst_seq,1554434355,full_random,default,0x5900,4,random,0.386,0.47,balanced,64,10,319,4,9,weighted,burst_hotspot,console,in_order,none,384
RUN-000120,reg_sweep_seq,1538832457,directed,corner,0xb500,64,incremental,0.422,0.27,reg_rd,64,25,129,30,10,fixed,ping_pong,boot,in_order,none,48
RUN-000121,irq_storm_seq,1679926691,full_random,stress,0x6100,64,walking_ones,0.104,0.69,balanced,8,17,86,0,6,fixed,burst_hotspot,dma_stream,in_order,bitflip,768
RUN-000122,irq_storm_seq,1481884713,directed,default,0x0300,16,all_ones,0.487,0.57,balanced,128,17,336,20,4,fixed,uniform,boot,in_order,none,48
RUN-000123,reset_recovery_seq,656828488,full_random,default,0x1f00,4,random,0.078,0.57,balanced,8,16,414,30,5,fixed,uniform,console,in_order,none,384
RUN-000124,reg_sweep_seq,1003677389,directed,default,0x6f00,16,all_ones,0.376,0.51,balanced,128,13,349,0,6,weighted,ping_pong,sensor_poll,in_order,none,768
RUN-000125,uart_loopback_seq,509335882,full_random,default,0xc800,16,walking_ones,0.788,0.77,balanced,128,21,220,28,2,weighted,sparse,console,in_order,glitch,48
RUN-000126,parity_stress_seq,2042052406,constrained,stress,0xd900,4,incremental,0.212,0.52,reg_rd,8,21,42,30,10,fixed,burst_hotspot,dma_stream,in_order,glitch,768
RUN-000127,irq_storm_seq,785541415,directed,default,0x0a00,16,walking_ones,0.439,0.49,reg_wr,8,34,210,31,0,weighted,burst_hotspot,sensor_poll,in_order,none,48
RUN-000128,uart_loopback_seq,1130141222,constrained,default,0xd800,16,incremental,0.717,0.64,reg_wr,8,7,87,16,11,weighted,burst_hotspot,dma_stream,in_order,glitch,384
RUN-000129,dma_burst_seq,823972999,full_random,default,0xa900,64,random,0.332,0.25,balanced,8,7,28,28,9,fixed,uniform,sensor_poll,out_of_order,none,768
RUN-000130,dma_burst_seq,1728588069,directed,default,0xa000,4,walking_ones,0.637,0.26,balanced,16,18,323,21,9,fixed,ping_pong,console,in_order,none,48
RUN-000131,reg_sweep_seq,1790059022,full_random,corner,0x3d00,16,incremental,0.713,0.22,balanced,8,18,276,3,5,weighted,uniform,dma_stream,in_order,none,192
RUN-000132,irq_storm_seq,706780235,constrained,default,0xfc00,64,random,0.787,0.76,balanced,8,34,241,2,11,weighted,burst_hotspot,sensor_poll,in_order,none,96
RUN-000133,reg_sweep_seq,1776557561,constrained,corner,0x0f00,4,all_ones,0.381,0.76,reg_rd,8,34,371,10,9,fixed,ping_pong,sensor_poll,in_order,bitflip,192
RUN-000134,reg_sweep_seq,1289461176,constrained,default,0x3f00,16,random,0.16,0.68,reg_rd,128,18,129,0,1,weighted,uniform,dma_stream,in_order,none,384
RUN-000135,uart_loopback_seq,1412500762,full_random,default,0xe800,16,random,0.225,0.43,reg_rd,8,39,180,15,7,weighted,uniform,sensor_poll,out_of_order,none,384
RUN-000136,dma_burst_seq,492664184,constrained,corner,0xcc00,16,random,0.439,0.32,reg_rd,8,31,354,16,4,fixed,ping_pong,sensor_poll,out_of_order,bitflip,192
RUN-000137,irq_storm_seq,1588552635,constrained,corner,0xd300,64,random,0.671,0.6,reg_wr,8,16,196,11,1,weighted,burst_hotspot,dma_stream,in_order,none,384
RUN-000138,parity_stress_seq,1188488034,constrained,corner,0x1900,16,random,0.371,0.35,balanced,128,33,147,1,1,weighted,burst_hotspot,console,in_order,none,48
RUN-000139,uart_loopback_seq,934566779,constrained,default,0x6200,4,random,0.69,0.49,reg_rd,128,31,219,22,3,weighted,uniform,sensor_poll,out_of_order,bitflip,384
RUN-000140,reg_sweep_seq,1601066103,constrained,default,0x2600,16,random,0.754,0.43,balanced,64,34,88,29,1,weighted,burst_hotspot,boot,in_order,none,192
RUN-000141,reg_sweep_seq,208356777,constrained,default,0x6d00,64,incremental,0.516,0.61,balanced,8,10,237,26,8,fixed,uniform,dma_stream,out_of_order,none,768
RUN-000142,reg_sweep_seq,20381392,constrained,default,0x1100,64,incremental,0.67,0.62,balanced,8,5,358,8,6,fixed,uniform,dma_stream,out_of_order,bitflip,384
RUN-000143,reg_sweep_seq,1469359334,constrained,stress,0x1600,16,random,0.709,0.75,reg_wr,8,1,339,11,7,weighted,uniform,sensor_poll,out_of_order,none,768
RUN-000144,uart_loopback_seq,1791828400,constrained,default,0x5f00,64,random,0.524,0.41,balanced,8,38,293,18,3,weighted,uniform,sensor_poll,in_order,none,96
RUN-000145,parity_stress_seq,159255617,constrained,corner,0x9300,16,incremental,0.618,0.75,reg_wr,8,39,199,14,2,weighted,burst_hotspot,console,out_of_order,none,48
RUN-000146,reset_recovery_seq,1208040151,constrained,default,0x6400,64,incremental,0.723,0.23,reg_wr,8,4,207,29,10,weighted,ping_pong,dma_stream,in_order,bitflip,768
RUN-000147,reg_sweep_seq,479847067,constrained,default,0x0600,4,walking_ones,0.83,0.75,balanced,8,0,239,2,6,weighted,burst_hotspot,dma_stream,out_of_order,bitflip,48
RUN-000148,reset_recovery_seq,1622422596,constrained,default,0x5c00,4,random,0.567,0.26,reg_rd,16,7,286,8,3,weighted,uniform,console,in_order,bitflip,96
RUN-000149,reg_sweep_seq,1677889639,constrained,stress,0x0300,4,incremental,0.682,0.78,reg_rd,128,25,258,23,6,fixed,sparse,dma_stream,in_order,bitflip,768
RUN-000150,backpressure_seq,1594411365,full_random,stress,0x2f00,4,all_ones,0.503,0.67,balanced,16,12,292,28,2,fixed,burst_hotspot,console,in_order,none,192
RUN-000151,uart_loopback_seq,1171406124,constrained,stress,0xac00,4,all_ones,0.415,0.4,reg_rd,128,38,190,1,3,fixed,uniform,dma_stream,in_order,none,192
RUN-000152,uart_loopback_seq,2060825729,full_random,corner,0x9200,16,incremental,0.671,0.39,reg_wr,128,19,29,3,4,fixed,sparse,sensor_poll,in_order,none,384
RUN-000153,uart_loopback_seq,2104665573,constrained,corner,0x9a00,4,incremental,0.761,0.63,reg_rd,64,5,15,9,2,fixed,uniform,boot,in_order,bitflip,384
RUN-000154,irq_storm_seq,2135433519,full_random,stress,0xba00,4,walking_ones,0.098,0.23,balanced,8,30,239,26,8,weighted,uniform,console,in_order,none,192
RUN-000155,parity_stress_seq,1498964826,full_random,corner,0xdc00,64,random,0.186,0.43,balanced,8,1,383,12,1,fixed,burst_hotspot,dma_stream,in_order,bitflip,384
RUN-000156,reset_recovery_seq,262438362,full_random,corner,0x9a00,16,incremental,0.677,0.36,reg_rd,128,8,54,27,4,weighted,uniform,dma_stream,in_order,glitch,96
RUN-000157,reset_recovery_seq,1136596354,constrained,default,0xe600,16,walking_ones,0.373,0.46,reg_wr,16,0,176,10,3,fixed,uniform,dma_stream,in_order,none,48
RUN-000158,irq_storm_seq,245974295,full_random,default,0x9700,64,walking_ones,0.215,0.37,reg_rd,16,38,351,30,10,fixed,uniform,console,in_order,none,384
RUN-000159,parity_stress_seq,1744086455,constrained,corner,0x7800,16,walking_ones,0.543,0.49,reg_wr,64,38,265,11,1,weighted,sparse,console,in_order,none,48
